stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
388,5000161,Shiplett Bl+Torrence St,,38.777782,-77.265938,,
390,5000163,Greeley Bl+Alberta St,,38.777962,-77.215652,,
391,3000217,Ft Foote Rd+River Bend Rd,,38.777988,-77.011276,,
392,5000164,Old Keene Mill Rd+Bauer Dr,,38.778034,-77.241074,,
394,5000165,Old Keene Mill Rd+Commerce St,,38.778118,-77.19178,,
396,3000220,Ft Foote Rd+River Bend Rd,,38.778179,-77.01088,,
397,5000166,Greeley Bl+Alberta St,,38.778233,-77.215881,,
398,5000167,Old Keene Mill Rd+Commerce St,,38.778263,-77.192154,,
399,5000168,Old Keene Mill Rd+Millwood Dr,,38.778309,-77.237007,,
400,5000169,Hillside Rd+Surveyors Pl,,38.778351,-77.246719,,
401,5000170,Old Keene Mill+Jansen Dr,,38.778362,-77.220657,,
402,5000171,Old Keene Mill Rd+Old Keene Mill Ct,,38.778408,-77.237312,,
403,3000221,Oxon Hill Rd+Kerby Pkwy,,38.778423,-77.00618,,
404,5000172,Old Keene Mill Rd+Jansen Dr,,38.778503,-77.220444,,
405,5000173,Old Keene Mill Rd+Spring Rd,,38.778477,-77.189331,,
406,3000222,Oxon Hill Rd+Kerby Pkwy,,38.778603,-77.006271,,
407,5000174,Hillside Rd+Surveyors Pl,,38.778614,-77.247093,,
409,5000176,Old Keene Mill Rd+Rolling Rd,,38.77879,-77.234932,,
410,5000177,Old Keene Mill Rd+Spring Rd,,38.778816,-77.188759,,
411,5000178,Capella Av+Lee Chapel Rd,,38.778957,-77.275932,,
413,5000180,Capella Av+Lee Chapel Rd,,38.779022,-77.275986,,
418,5000183,Old Keene Mill Rd+Bardu Av,,38.779465,-77.22216,,
420,5000184,Old Keene Mill Rd+Rolling Rd,,38.779491,-77.231544,,
422,5000185,Old Keene Mill Rd+Rolling Rd,,38.779644,-77.231651,,
425,5000186,Greeley Bl+Brompton St,,38.77977,-77.217041,,
426,5000187,Greeley Bl+Brompton St,,38.779785,-77.216949,,
427,5000188,Shiplett Bl+Andromeda Dr,,38.779789,-77.265465,,
429,5000190,Shiplett Bl+Andromeda Dr,,38.77993,-77.265335,,
430,5000191,Old Keene Mill Rd+Bardu Ct,,38.780121,-77.222969,,
431,5000192,Capella Av+Orion Ct,,38.780087,-77.274925,,
432,5000193,Old Keene Mill Rd+Carrleigh Pkwy,,38.780106,-77.228554,,
433,5000194,Capella Av+Orion Ct,,38.780167,-77.274994,,
434,5000195,Old Keene Mill Rd+Carrleigh Pkwy,,38.780243,-77.228912,,
435,5000196,Old Keene Mill Rd+Ainsworth Av,,38.780457,-77.226181,,
436,5000197,Old Keene Mill Rd+Ainsworth Av,,38.780659,-77.226364,,
437,5000198,Hillside Rd+Moverly Ct,,38.780968,-77.249756,,
438,5000199,Hillside Rd+Moverly Ct,,38.780987,-77.249603,,
439,3000229,Livingston Rd+Murray Hill Dr,,38.781124,-76.9953,,
445,5000201,Capella Av+Vandola Ct,,38.781456,-77.274078,,
450,3000234,Livingston Rd+Carey Branch Dr,,38.781673,-76.993134,,
451,5000206,Lee Chapel Rd+Covered Bridge Rd,,38.781757,-77.277756,,
453,5000207,Capella Av+Vandola Ct,,38.78207,-77.273743,,
458,5000210,Lee Chapel Rd+Covered Bridge Rd,,38.782372,-77.277763,,
459,3000237,Livingston Rd+Hart Rd,,38.782391,-76.992409,,
462,5000212,Shiplett Bl+Hatches Ct,,38.782516,-77.266808,,
463,5000213,Greeley Bl+Bardu Av,,38.782578,-77.218887,,
464,5000214,Shiplett Bl+Fushimi Ct,,38.782585,-77.267189,,
468,5000216,Greeley Bl+Bardu Av,,38.782703,-77.219917,,
472,3000242,Livingston Rd+Hart Rd,,38.782837,-76.992081,,
475,5000220,Capella Av+Scorpio Ln,,38.782944,-77.272873,,
477,5000221,Greeley Bl+Tanglewood Ct,,38.783234,-77.221687,,
479,5000223,Greeley Bl+Tanglewood Ct,,38.783504,-77.222328,,
481,5000225,Capella Av+Mellet Ct,,38.783794,-77.271782,,
483,5000227,Shiplett Bl+Rockwell Ct,,38.783936,-77.26963,,
484,5000228,Shiplett Bl+Capella Av,,38.783966,-77.270515,,
487,5000230,Greeley Bl+Dabney Av,,38.784718,-77.222862,,
489,5000231,Burke Centre Pkwy+Wesley Pond Ct,,38.784813,-77.280861,,
490,5000232,Burke Centre Pkwy+Wesley Pond Ct,,38.784874,-77.281136,,
